single strand break repair
L-lysine degradation to acetate
L-alanine breakdown by transamination
L-alanine degradation by transamination
beta-alanine breakdown to L-alanine
beta-alanine degradation to L-alanine
anaerobic ethyne catabolic process
arginine breakdown to proline
arginine degradation to proline
proline breakdown to 2-oxoglutarate
proline catabolism to 2-ketoglutarate
proline catabolism to alpha-ketoglutarate
proline catabolism to alpha-oxoglutarate
proline degradation to 2-oxoglutarate
2,5-dihydroxypyridine breakdown to fumarate
2,5-dihydroxypyridine degradation to fumarate
L-methionine salvage from methylthioadenosine
methionine salvage from methylthioadenosine
lactose breakdown via tagatose-6-phosphate
lactose degradation via tagatose-6-phosphate
lactose breakdown via UDP-galactose
lactose degradation via UDP-galactose
L-threonine breakdown to D-lactate
L-threonine catabolism to D-lactate
L-threonine degradation to D-lactate
L-threonine breakdown to glycine
L-threonine catabolism to glycine
L-threonine degradation to glycine
protein metabolism and modification
siderochrome biosynthesis from catechol
siderophore anabolism from catechol
siderophore formation from catechol
siderophore synthesis from catechol
arginine breakdown to glutamate
arginine degradation to glutamate
arginine breakdown to succinate
arginine degradation to succinate
arginine breakdown to ornithine
arginine degradation to ornithine
arginine breakdown to spermine
arginine degradation to spermine
glutamate breakdown to succinate
glutamate degradation to succinate
glutamate breakdown to aspartate
glutamate degradation to aspartate
glutamate breakdown to 2-oxoglutarate
glutamate catabolism to 2-ketoglutarate
glutamate catabolism to alpha-ketoglutarate
glutamate catabolism to alpha-oxoglutarate
glutamate degradation to 2-oxoglutarate
glutamate fermentation via 2-hydroxyglutarate
glutamate breakdown via L-citramalate
glutamate degradation via L-citramalate
glutamate breakdown to oxaloacetate
glutamate degradation to oxaloacetate
glutamate breakdown to ornithine
glutamate degradation to ornithine
histidine breakdown to 2-oxoglutarate
histidine catabolism to 2-ketoglutarate
histidine catabolism to alpha-ketoglutarate
histidine catabolism to alpha-oxoglutarate
histidine degradation to 2-oxoglutarate
histidine breakdown to imidazol-5-yl-lactate
histidine degradation to imidazol-5-yl-lactate
histidine breakdown to hydantoin-5-propionate
histidine degradation to hydantoin-5-propionate
phenylalanine breakdown to phosphoenolpyruvate
phenylalanine degradation to phosphoenolpyruvate
L-arabinose breakdown to 2-oxoglutarate
L-arabinose catabolism to 2-ketoglutarate
L-arabinose catabolism to alpha-ketoglutarate
L-arabinose catabolism to alpha-oxoglutarate
L-arabinose degradation to 2-oxoglutarate
sucrose breakdown using beta-fructofuranosidase
sucrose catabolism using beta-fructofuranosidase
sucrose degradation using beta-fructofuranosidase
mucic acid metabolic process
glycerol fermentation to 1,3-propanediol
glycerol fermentation to propane-1,3-diol
L-arabitol and xylitol degradation
(R)-mandelate breakdown to benzoate
(R)-mandelate degradation to benzoate
(R)-mandelate breakdown to catechol
(R)-mandelate degradation to catechol
butanoic acid metabolic process
butyric acid metabolic process
3,4-dihydroxybenzoate catabolic process meta-cleavage
3,4-dihydroxybenzoate catabolic process ortho-cleavage
creatinine breakdown to formate
creatinine degradation to formate
atrazine breakdown to urea
atrazine degradation to urea
atrazine breakdown to isopropylamine
atrazine degradation to isopropylamine
short-chain fatty acid breakdown
short-chain fatty acid catabolism
short-chain fatty acid degradation
uric acid catabolic process
propionate breakdown 2-methylcitrate cycle
propionate degradation 2-methylcitrate cycle
quinic acid metabolic process
quinic acid catabolic process
reductive carboxylic acid cycle
reductive citric acid pathway
glucose fermentation to butanediol
citrate fermentation to diacetyl
anaerobic purine base catabolism
anaerobic purine catabolic process
glucose fermentation to ethanol
glucose fermentation to lactate
nitrogenous compound catabolic process
NAD (oxidized) metabolic process
nicotinamide adenine dinucleotide metabolism
oxidized NAD metabolic process
NAD (oxidized) catabolic process
NAD (reduced) catabolic process
nicotinamide adenine dinucleotide catabolism
oxidized NAD catabolic process
reduced NAD catabolic process
propionate metabolism methylmalonyl pathway
propionate metabolism methylcitrate cycle
acetyl-CoA catabolism to 2-ketoglutarate
acetyl-CoA catabolism to 2-oxoglutarate
acetyl-CoA catabolism to alpha-ketoglutarate
acetyl-CoA catabolism to alpha-oxoglutarate
glyceraldehyde 3-phosphate metabolic process
glyceraldehyde 3-phosphate catabolic process
pyruvate anabolism from acetate
pyruvate formation from acetate
pyruvate synthesis from acetate
peptidyl-S-myristoyl-L-cysteine anabolism from peptidyl-cysteine
peptidyl-S-myristoyl-L-cysteine formation from peptidyl-cysteine
peptidyl-S-myristoyl-L-cysteine synthesis from peptidyl-cysteine
regulation of isoprenoid metabolism
secondary metabolite metabolic process
polyhydric alcohol metabolic process
nonprotein amino acid metabolism
nonprotein amino acid anabolism
nonprotein amino acid biosynthesis
nonprotein amino acid formation
nonprotein amino acid synthesis
nonprotein amino acid breakdown
nonprotein amino acid catabolism
nonprotein amino acid degradation
vitamin C metabolic process
vitamin C biosynthetic process
vitamin C catabolic process
pyrimidine base biosynthetic process
lysine biosynthesis aminoadipic pathway
peptidyl-thyronine anabolism from peptidyl-tyrosine
peptidyl-thyronine formation from peptidyl-tyrosine
peptidyl-thyronine synthesis from peptidyl-tyrosine
second messenger mediated signaling
second messenger mediated signalling
peptidyl-S-palmitoleyl-L-cysteine anabolism from peptidyl-cysteine
peptidyl-S-palmitoleyl-L-cysteine formation from peptidyl-cysteine
peptidyl-S-palmitoleyl-L-cysteine synthesis from peptidyl-cysteine
modification-initiated protein catabolic process
protein degradation tagging activity
protein-ligand-dependent protein catabolic process
pre-translational amino acid modification
pretranslational amino acid modification
heavy metal ion transport
heparan sulfate proteoglycan breakdown
heparan sulfate proteoglycan catabolism
heparan sulfate proteoglycan degradation
heparan sulphate proteoglycan catabolism
heparin proteoglycan catabolic process
heparan sulfate proteoglycan metabolism
heparan sulphate proteoglycan metabolism
heparin proteoglycan metabolic process
heparan sulfate metabolic process
chondroitin sulphate metabolic process
chondroitin sulfate B metabolism
dermatan sulphate metabolic process
chondroitin sulphate biosynthetic process
chondroitin sulphate catabolic process
chondroitin sulfate B biosynthesis
dermatan sulphate biosynthetic process
chondroitin sulfate B catabolism
dermatan sulphate catabolic process
heparan sulfate biosynthetic process
heparan sulfate catabolic process
activation of cell growth
stimulation of cell growth
up-regulation of cell growth
upregulation of cell growth
down-regulation of cell growth
downregulation of cell growth
inhibition of cell growth
activation of cell migration
stimulation of cell migration
up-regulation of cell migration
upregulation of cell migration
cellular hydrogen ion homeostasis
glucose fermentation to butyrate
regulation of vitamin metabolism
regulation of nucleotide anabolism
regulation of nucleotide biosynthesis
regulation of nucleotide formation
regulation of nucleotide synthesis
regulation of nucleotide breakdown
regulation of nucleotide catabolism
regulation of nucleotide degradation
regulation of 3',5'-cAMP metabolism
regulation of cAMP metabolism
regulation of 3',5'-cAMP biosynthesis
regulation of cAMP anabolism
regulation of cAMP biosynthesis
regulation of cAMP formation
regulation of cAMP synthesis
regulation of 3',5'-cAMP catabolism
regulation of cAMP breakdown
regulation of cAMP catabolism
regulation of cAMP degradation
regulation of cGMP metabolism
regulation of cGMP anabolism
regulation of cGMP biosynthesis
regulation of cGMP formation
regulation of cGMP synthesis
regulation of cGMP breakdown
regulation of cGMP catabolism
regulation of cGMP degradation
RNA 3' end processing
mRNA 3' end processing
regulation of cellular metabolism
regulation of cellular anabolism
regulation of cellular biosynthesis
regulation of cellular formation
regulation of cellular synthesis
regulation of cellular breakdown
regulation of cellular catabolism
regulation of cellular degradation
peptidoglycan-based cell wall organisation
cell wall glycoprotein anabolism
cell wall glycoprotein biosynthesis
cell wall glycoprotein formation
cell wall glycoprotein synthesis
down-regulation of protein binding
downregulation of protein binding
inhibition of protein binding
activation of protein binding
stimulation of protein binding
up-regulation of protein binding
upregulation of protein binding
down-regulation of protein oligomerization
downregulation of protein oligomerization
inhibition of protein oligomerization
activation of protein oligomerization
induction of protein oligomerization
stimulation of protein oligomerization
up-regulation of protein oligomerization
upregulation of protein oligomerization
down-regulation of protein homooligomerization
downregulation of protein homooligomerization
inhibition of protein homooligomerization
activation of protein homooligomerization
induction of protein homooligomerization
stimulation of protein homooligomerization
up-regulation of protein homooligomerization
upregulation of protein homooligomerization
downregulation of calcineurin activity
inhibition of calcineurin activity
activation of calcineurin activity
regulation of protein localisation
regulation of alpha-glucan metabolism
regulation of beta-glucan metabolism
regulation of (1->3)-beta-D-glucan metabolism
regulation of 1,3-beta-glucan metabolism
cellular macromolecular complex disassembly
cellular macromolecule complex disassembly
regulation of amine metabolism
choline anabolism via CDP-choline
choline biosynthesis via CDP-choline
choline formation via CDP-choline
choline synthesis via CDP-choline
choline anabolism via N-monomethylethanolamine
choline biosynthesis via N-monomethylethanolamine
choline formation via N-monomethylethanolamine
choline synthesis via N-monomethylethanolamine
choline anabolism via phosphoryl-ethanolamine
choline biosynthesis via phosphoryl-ethanolamine
choline formation via phosphoryl-ethanolamine
choline synthesis via phosphoryl-ethanolamine
putrescine anabolism from arginine
putrescine biosynthesis from arginine
putrescine formation from arginine
putrescine synthesis from arginine
galactose breakdown via D-galactonate
galactose catabolism via D-galactonate
galactose degradation via D-galactonate
glucosinolate anabolism from homomethionine
glucosinolate biosynthesis from homomethionine
glucosinolate formation from homomethionine
glucosinolate synthesis from homomethionine
glucosinolate anabolism from phenylalanine
glucosinolate biosynthesis from phenylalanine
glucosinolate formation from phenylalanine
glucosinolate synthesis from phenylalanine
glutamate breakdown to butyrate
glutamate degradation to butyrate
glutamate breakdown to propionate
glutamate degradation to propionate
unsaturated fatty acid metabolism
cellular glycan biosynthetic process
purine nucleoside bisphosphate metabolism
purine nucleoside bisphosphate anabolism
purine nucleoside bisphosphate biosynthesis
purine nucleoside bisphosphate formation
purine nucleoside bisphosphate synthesis
purine nucleoside bisphosphate breakdown
purine nucleoside bisphosphate catabolism
purine nucleoside bisphosphate degradation
purine ribonucleoside bisphosphate metabolism
purine ribonucleoside bisphosphate anabolism
purine ribonucleoside bisphosphate biosynthesis
purine ribonucleoside bisphosphate formation
purine ribonucleoside bisphosphate synthesis
purine ribonucleoside bisphosphate breakdown
purine ribonucleoside bisphosphate catabolism
purine ribonucleoside bisphosphate degradation
butylene glycol metabolic process
butylene glycol catabolic process
butylene glycol biosynthetic process
protein hexamer biosynthetic process
monohydric alcohol metabolic process
monohydric alcohol biosynthetic process
monohydric alcohol catabolic process
dihydric alcohol metabolic process
cell wall beta-glucan metabolism
cell wall 1,3-beta-glucan metabolism
cell wall beta-glucan anabolism
cell wall beta-glucan biosynthesis
cell wall beta-glucan formation
cell wall beta-glucan synthesis
cellular response to AOS
cellular response to ROI
cellular response to ROS
cellular macromolecule complex assembly
cellular nitrogen compound metabolism
nucleic acid catabolic process
iron ion membrane transport
protein amino acid mannosylation
down regulation of dephosphorylation
up regulation of dephosphorylation
regulation of pteridine metabolism
regulation of catecholamine metabolism
protein amino acid galactosylation
down regulation of sporulation
regulation of protein breakdown
regulation of protein catabolism
regulation of protein degradation
formic acid catabolic process
vanillic aldehyde biosynthetic process
vanillic aldehyde catabolic process
quinic acid biosynthetic process
aerobic gallic acid catabolism
octamethylcyclotetrasiloxane breakdown to dimethylsilanediol
octamethylcyclotetrasiloxane degradation to dimethylsilanediol
catabolic process of DMSD
anaerobic phenol-containing compound metabolism
modified amino acid catabolism
response to chemical stimulus
response to chemical substance
asexual spore wall formation
spore coat biosynthetic process
ribosome biogenesis and assembly
peptidyl-L-beta-methylthioasparagine anabolism from peptidyl-asparagine
peptidyl-L-beta-methylthioasparagine formation from peptidyl-asparagine
peptidyl-L-beta-methylthioasparagine synthesis from peptidyl-asparagine
error-prone postreplication DNA repair
mutagenic postreplication DNA repair
down regulation of phosphorylation
up regulation of phosphorylation
keratan sulphate metabolic process
keratan sulphate catabolic process
'de novo' GDP-L-fucose anabolism
'de novo' GDP-L-fucose biosynthesis
'de novo' GDP-L-fucose formation
'de novo' GDP-L-fucose synthesis
GDP-L-fucose biosynthesis salvage pathway
thiamin diphosphate metabolic process
thiamin pyrophosphate metabolic process
thiamine pyrophosphate metabolic process
thiamin diphosphate catabolic process
thiamin pyrophosphate catabolic process
thiamine pyrophosphate catabolic process
vitamin K2 catabolic process
vitamin B12 catabolic process
vitamin B7 catabolic process
vitamin H catabolic process
vitamin K1 biosynthetic process
vitamin K1 metabolic process
vitamin K1 catabolic process
vitamin Bt catabolic process
indole and derivative metabolism
indole derivative metabolic process
indole derivative biosynthetic process
indole derivative catabolic process
indole acetic acid catabolism
ethanolamine and derivative metabolism
arginine anabolism via ornithine
arginine formation via ornithine
arginine synthesis via ornithine
nopaline breakdown to proline
nopaline degradation to proline
octopine breakdown to proline
octopine degradation to proline
benzene and derivative metabolism
pteridine and derivative metabolism
pteridine and derivative biosynthesis
pteridine and derivative catabolism
vitamin A1 alcohol metabolism
vitamin A1 metabolic process
vitamin A1 acid metabolism
thiamin and derivative metabolism
thiamin-containing compound metabolic process
thiamine and derivative metabolism
thiamin and derivative biosynthesis
thiamin-containing compound biosynthetic process
thiamine and derivative biosynthesis
thiamin and derivative catabolism
thiamin-containing compound catabolic process
thiamine and derivative catabolism
riboflavin and derivative metabolism
riboflavin and derivative biosynthesis
riboflavin and derivative catabolism
defence response to bacteria
defence response to bacterium
defense response to bacteria
detoxification of hydrogen peroxide
long-chain fatty acid breakdown
long-chain fatty acid catabolism
long-chain fatty acid degradation
long-chain fatty acid anabolism
long-chain fatty acid biosynthesis
long-chain fatty acid formation
long-chain fatty acid synthesis
very-long-chain fatty acid breakdown
very-long-chain fatty acid catabolism
very-long-chain fatty acid degradation
very-long-chain fatty acid anabolism
very-long-chain fatty acid biosynthesis
very-long-chain fatty acid formation
very-long-chain fatty acid synthesis
regulation of sulfur metabolism
regulation of sulphur metabolism
active vitamin B6 metabolism
active vitamin B6 biosynthesis
dihydric alcohol biosynthetic process
dihydric alcohol catabolic process
eugenic acid metabolic process
eugenic acid biosynthetic process
eugenic acid catabolic process
acyl carrier protein biosynthesis
amyloid precursor protein metabolism
amyloid precursor protein anabolism
amyloid precursor protein biosynthesis
amyloid precursor protein formation
amyloid precursor protein synthesis
regulation of APP biosynthesis
nonribosomal amino acid activation
flagellum organization and biogenesis
initiation of acetate breakdown
initiation of acetate catabolism
initiation of acetate degradation
activation of enzyme activity
activation of metalloenzyme activity
stimulation of enzyme activity
stimulation of metalloenzyme activity
up-regulation of enzyme activity
up-regulation of metalloenzyme activity
upregulation of enzyme activity
upregulation of metalloenzyme activity
down-regulation of enzyme activity
down-regulation of metalloenzyme activity
downregulation of enzyme activity
downregulation of metalloenzyme activity
inhibition of enzyme activity
inhibition of metalloenzyme activity
cytokinesis by binary fission
type 4 pilus-dependent motility
type four pilus-dependent motility
regulation of PI4K activity
Okazaki initiator RNA removal
cell outer membrane biogenesis
regulation of carbohydrate anabolism
regulation of carbohydrate biosynthesis
regulation of carbohydrate formation
regulation of carbohydrate synthesis
regulation of poly(3-hydroxyalkanoate) anabolism
regulation of poly(3-hydroxyalkanoate) biosynthesis
regulation of poly(3-hydroxyalkanoate) formation
regulation of poly(3-hydroxyalkanoate) synthesis
apo carotenoid metabolic process
apo carotenoid biosynthetic process
apo carotenoid catabolic process
activation of DNA binding
stimulation of DNA binding
up-regulation of DNA binding
upregulation of DNA binding
down-regulation of DNA binding
downregulation of DNA binding
inhibition of DNA binding
keto acid metabolic process
oxo acid metabolic process
F-type ATPase complex assembly
protein amino acid acylation
post-translational amino acid modification
posttranslational amino acid modification
pilus organization and biogenesis
cellular macromolecular complex organization
macromolecular complex subunit organisation
symbiont movement in host
symbiont movement within host
cell wall macromolecule anabolism
cell wall macromolecule biosynthesis
cell wall macromolecule synthesis
growth during symbiotic interaction
development during symbiotic interaction
cellular biopolymer metabolic process
cellular glycan metabolic process
cellular biopolymer catabolic process
cellular cell wall disassembly
cell wall polysaccharide breakdown
competition with another organism
symbiotic interaction between organisms
symbiotic interaction between species
avoidance of host defences
interaction with another species
lytic viral life cycle
establishment of protein localisation
maintenance of protein localization
capsular polysaccharide biosynthetic process
slime layer polysaccharide anabolism
slime layer polysaccharide biosynthesis
slime layer polysaccharide formation
slime layer polysaccharide synthesis
external encapsulating structure organisation
capsule organization and biogenesis
protein amino acid palmitoleylation
cytochrome P450 4A1-haem linkage
vitamin Bt biosynthetic process
regulation of redox homeostasis
gibberellic acid catabolic process
down-regulation of cell differentiation
downregulation of cell differentiation
inhibition of cell differentiation
activation of cell differentiation
stimulation of cell differentiation
up-regulation of cell differentiation
upregulation of cell differentiation
down regulation of gluconeogenesis
up regulation of gluconeogenesis
regulation of acetate breakdown
regulation of acetate catabolism
regulation of acetate degradation
down-regulation of DNA repair
downregulation of DNA repair
inhibition of DNA repair
activation of DNA repair
stimulation of DNA repair
up-regulation of DNA repair
upregulation of DNA repair
activation of DNA replication
stimulation of DNA replication
up-regulation of DNA replication
upregulation of DNA replication
down-regulation of cell size
downregulation of cell size
inhibition of cell size
activation of cell size
stimulation of cell size
up-regulation of cell size
upregulation of cell size
negative regulation of glycogenolysis
positive regulation of glycogenolysis
down regulation of glycolysis
up regulation of glycolysis
down regulation of proteolysis
negative regulation of peptidolysis
positive regulation of peptidolysis
up regulation of proteolysis
down-regulation of sulfur utilization
downregulation of sulfur utilization
inhibition of sulfur utilization
activation of sulfur utilization
stimulation of sulfur utilization
up-regulation of sulfur utilization
upregulation of sulfur utilization
down-regulation of gene-specific transcription
down-regulation of transcription DNA-dependent
downregulation of gene-specific transcription
downregulation of transcription DNA-dependent
inhibition of gene-specific transcription
inhibition of transcription DNA-dependent
activation of gene-specific transcription
activation of transcription DNA-dependent
stimulation of gene-specific transcription
stimulation of transcription DNA-dependent
up-regulation of gene-specific transcription
up-regulation of transcription DNA-dependent
upregulation of gene-specific transcription
upregulation of transcription DNA-dependent
down-regulation of translational elongation
downregulation of translational elongation
inhibition of translational elongation
activation of translational elongation
stimulation of translational elongation
up-regulation of translational elongation
upregulation of translational elongation
down-regulation of translational fidelity
downregulation of translational fidelity
inhibition of translational fidelity
activation of translational fidelity
stimulation of translational fidelity
up-regulation of translational fidelity
upregulation of translational fidelity
down-regulation of translational termination
downregulation of translational termination
inhibition of translational termination
activation of translational termination
stimulation of translational termination
up-regulation of translational termination
upregulation of translational termination
down-regulation of DNA recombination
downregulation of DNA recombination
inhibition of DNA recombination
activation of DNA recombination
stimulation of DNA recombination
up-regulation of DNA recombination
upregulation of DNA recombination
down regulation of cytolysis
up regulation of cytolysis
up regulation of exocytosis
down regulation of growth
up regulation of growth
down-regulation of phosphorus utilization
downregulation of phosphorus utilization
inhibition of phosphorus utilization
down-regulation of translational initiation
downregulation of translational initiation
inhibition of translational initiation
activation of translational initiation
stimulation of translational initiation
up-regulation of translational initiation
upregulation of translational initiation
activation of phosphorus utilization
stimulation of phosphorus utilization
up-regulation of phosphorus utilization
upregulation of phosphorus utilization
adenylate forming enzyme activity
3',5' cAMP metabolic process
adenosine 3',5'-cyclophosphate metabolic process
cAMP generating peptide activity
cyclic AMP metabolic process
haem a metabolic process
haem a catabolic process
haem c metabolic process
haem c catabolic process
glyceraldehyde 3-phosphate biosynthetic process
polyhydric alcohol biosynthetic process
polyhydric alcohol catabolic process
aerobic phenol-containing compound anabolism
aerobic phenol-containing compound biosynthesis
aerobic phenol-containing compound formation
aerobic phenol-containing compound synthesis
aerobic phenol-containing compound breakdown
aerobic phenol-containing compound catabolism
aerobic phenol-containing compound degradation
anaerobic phenol-containing compound anabolism
anaerobic phenol-containing compound biosynthesis
anaerobic phenol-containing compound formation
anaerobic phenol-containing compound synthesis
anaerobic phenol-containing compound breakdown
anaerobic phenol-containing compound catabolism
anaerobic phenol-containing compound degradation
methyl ethyl ketone breakdown
methyl ethyl ketone catabolism
methyl ethyl ketone degradation
aflatoxin B metabolic process
gallic acid biosynthetic process
cinnamylic acid catabolic process
phenylacrylic acid catabolic process
cinnamic acid ester breakdown
cinnamic acid ester catabolism
cinnamic acid ester degradation
regulation of glucosylceramide anabolism
regulation of glucosylceramide biosynthesis
regulation of glucosylceramide formation
regulation of glucosylceramide synthesis
regulation of glucose uptake
activation of glucose import
stimulation of glucose import
up-regulation of glucose import
upregulation of glucose import
glycerol anabolism from pyruvate
glycerol formation from pyruvate
glycerol synthesis from pyruvate
butanoic acid biosynthetic process
butanoic acid catabolic process
enterobacterial common antigen metabolism
deoxyribose 1-phosphate metabolic process
lipopolysaccharide core region metabolism
oxidized flavin-adenine dinucleotide metabolism
benzyl isoquinoline alkaloid metabolism
terpenoid indole alkaloid metabolism
short-chain fatty acid metabolism
4-aminobenzoic acid metabolic process
p-aminobenzoic acid metabolic process
vitamin Bx metabolic process
oxazole or thiazole metabolism
isopentenyl pyrophosphate metabolic process
haem b metabolic process
S-adenosyl methionine metabolic process
sphingoid base metabolic process
(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine anabolism from asparagine
(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine formation from asparagine
(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine synthesis from asparagine
vitamin B9 metabolic process
vitamin M metabolic process
vitamin B9 biosynthetic process
vitamin M biosynthetic process
vitamin B9 catabolic process
vitamin M catabolic process
response to mercuric ion
protein amino acid autophosphorylation
protein-haem linkage via 1'-L-histidine
phosphatidylinositol phosphate biosynthetic process
phosphatidylinositol phosphate catabolic process
positive regulation of lipogenesis
regulation of lipid anabolism
regulation of lipid biosynthesis
regulation of lipid formation
regulation of lipid synthesis
folic acid-containing compound polyglutamylation
protein amino acid carbamoylation
cellular ketone body metabolism
regulation of melanin anabolism
regulation of melanin biosynthesis
regulation of melanin formation
regulation of melanin synthesis
haem o metabolic process
haem O biosynthetic process
haem o catabolic process
n-dodecanoic acid metabolic process
vesicle to membrane docking
activation of biological process
stimulation of biological process
up-regulation of biological process
upregulation of biological process
down-regulation of biological process
downregulation of biological process
inhibition of biological process
activation of cellular process
stimulation of cellular process
up-regulation of cellular process
upregulation of cellular process
down-regulation of cellular process
downregulation of cellular process
inhibition of cellular process
movement of a cell
3'-phosphoadenosine 5'-phosphosulphate metabolic process
adenosine 3'-phosphate 5'-phosphosulfate metabolism
phosphoadenosine phosphosulfate metabolic process
3'-phosphoadenosine 5'-phosphosulphate biosynthetic process
adenosine 3'-phosphate 5'-phosphosulfate biosynthesis
phosphoadenosine phosphosulfate biosynthetic process
peptidyl-glycyl-phosphatidylethanolamine anabolism from peptidyl-glycine
peptidyl-glycyl-phosphatidylethanolamine formation from peptidyl-glycine
peptidyl-glycyl-phosphatidylethanolamine synthesis from peptidyl-glycine
chondroitin sulfate proteoglycan anabolism
chondroitin sulfate proteoglycan biosynthesis
chondroitin sulfate proteoglycan formation
chondroitin sulfate proteoglycan synthesis
chondroitin sulphate proteoglycan biosynthesis
dermatan sulfate proteoglycan anabolism
dermatan sulfate proteoglycan biosynthesis
dermatan sulfate proteoglycan formation
dermatan sulfate proteoglycan synthesis
dermatan sulphate proteoglycan biosynthesis
chondroitin sulfate proteoglycan metabolism
chondroitin sulphate proteoglycan metabolism
dermatan sulfate proteoglycan metabolism
dermatan sulphate proteoglycan metabolism
regulation of Hcy metabolism
regulation of homocysteine metabolism
activation of mRNA processing
stimulation of mRNA processing
up-regulation of mRNA processing
upregulation of mRNA processing
down-regulation of mRNA processing
downregulation of mRNA processing
inhibition of mRNA processing
activation of peptidyl-tyrosine phosphorylation
stimulation of peptidyl-tyrosine phosphorylation
up-regulation of peptidyl-tyrosine phosphorylation
upregulation of peptidyl-tyrosine phosphorylation
down-regulation of peptidyl-tyrosine phosphorylation
downregulation of peptidyl-tyrosine phosphorylation
inhibition of peptidyl-tyrosine phosphorylation
regulation of lipoprotein metabolism
regulation of physiological process
regulation of enzyme activity
regulation of metalloenzyme activity
regulation of steroid anabolism
regulation of steroid biosynthesis
regulation of steroid formation
regulation of steroid synthesis
regulation of acyl-CoA anabolism
regulation of acyl-CoA biosynthesis
regulation of acyl-CoA formation
regulation of acyl-CoA synthesis
peptide antigen stabilization activity
ice nucleation inhibitor activity
Gram-positive antibacterial peptide activity
S-adenosyl methionine catabolic process
physiological response to stimulus
up regulation of chemotaxis
activation of positive chemotaxis
stimulation of positive chemotaxis
up-regulation of positive chemotaxis
upregulation of positive chemotaxis
dimethylallyl pyrophosphate biosynthetic process
dimethylallyl pyrophosphate metabolic process
regulation of NOS activity
up regulation of transport
down regulation of transport
regulation of DNA metabolism
negative regulation of lipogenesis
4,6-pyruvylated galactose residue metabolism
4,6-pyruvylated galactose residue anabolism
4,6-pyruvylated galactose residue biosynthesis
4,6-pyruvylated galactose residue formation
4,6-pyruvylated galactose residue synthesis
chaperone co-factor-dependent protein folding
chaperone cofactor-dependent protein folding
chaperone cofactor-independent protein folding
down-regulation of developmental process
downregulation of developmental process
inhibition of developmental process
activation of developmental process
stimulation of developmental process
up-regulation of developmental process
upregulation of developmental process
activation of helicase activity
stimulation of helicase activity
up-regulation of helicase activity
upregulation of helicase activity
down-regulation of helicase activity
downregulation of helicase activity
inhibition of helicase activity
up regulation of binding
down regulation of binding
activation of DNA ligation
stimulation of DNA ligation
up-regulation of DNA ligation
upregulation of DNA ligation
down-regulation of DNA ligation
downregulation of DNA ligation
inhibition of DNA ligation
regulation of cell organisation
regulation of cell organization
down-regulation of cell organization
downregulation of cell organization
inhibition of cell organization
propylene glycol metabolic process
propylene glycol catabolic process
D-xylulose 5-phosphate metabolic process
regulation of nitrogen metabolism
regulation of phosphorus metabolism
vitamin or cofactor transport
regulation of cofactor metabolism
regulation of coenzyme metabolism
integral membrane protein localization
integral membrane protein positioning
retention of metal ion
sequestration of metal ion
storage of metal ion
regulation of protein metabolism
regulation of RNA metabolism
protein polymer biosynthetic process
protein oligomer biosynthetic process
protein homooligomer biosynthetic process
protein polymer catabolic process
protein tetramer biosynthetic process
regulation of cell movement
down-regulation of cell motility
downregulation of cell motility
inhibition of cell motility
activation of cell motility
stimulation of cell motility
up-regulation of cell motility
upregulation of cell motility
chromosome organization and biogenesis
maintenance of genome integrity
protein homotetramer biosynthetic process
protein heterotetramer biosynthetic process
protein heterooligomer biosynthetic process
activation of hydrolase activity
stimulation of hydrolase activity
up-regulation of hydrolase activity
upregulation of hydrolase activity
down-regulation of hydrolase activity
downregulation of hydrolase activity
inhibition of hydrolase activity
activation of transferase activity
stimulation of transferase activity
up-regulation of transferase activity
upregulation of transferase activity
down-regulation of transferase activity
downregulation of transferase activity
inhibition of transferase activity
activation of ligase activity
stimulation of ligase activity
up-regulation of ligase activity
upregulation of ligase activity
down-regulation of ligase activity
downregulation of ligase activity
inhibition of ligase activity
activation of oxidoreductase activity
stimulation of oxidoreductase activity
up-regulation of oxidoreductase activity
upregulation of oxidoreductase activity
down-regulation of oxidoreductase activity
downregulation of oxidoreductase activity
inhibition of oxidoreductase activity
establishment of cellular localization
establishment of intracellular localization
maintenance of cellular localization
maintenance of intracellular localization
physiological interaction between organisms
response to protein stimulus
other organism cell invasion
invasion into other organism
invasion of other organism
modulation of host PCD
positive aerotaxis within host
negative aerotaxis within host
negative chemotaxis within host
positive chemotaxis within host
cellular histidine derivative breakdown
cellular histidine derivative catabolism
cellular histidine derivative degradation
cellular modified histidine breakdown
cellular modified histidine catabolism
cellular modified histidine degradation
histidine derivative catabolic process
modified histidine catabolic process
cellular histidine derivative anabolism
cellular histidine derivative biosynthesis
cellular histidine derivative formation
cellular histidine derivative synthesis
cellular modified histidine anabolism
cellular modified histidine biosynthesis
cellular modified histidine formation
cellular modified histidine synthesis
histidine derivative biosynthetic process
inositol and derivative phosphorylation
myo-inositol and derivative phosphorylation
regulation of biological attribute
regulation of biological characteristic
ERN1-mediated XBP-1 mRNA cleavage
IRE1-mediated XBP-1 mRNA cleavage
protein trimer biosynthetic process
protein homotrimer biosynthetic process
protein heterotrimer biosynthetic process
regulation of histidyl-aspartyl phosphorelay
chaperone co-factor-dependent protein refolding
